archivo,caption,anio
2025/25llam (1).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (2).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (3).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (4).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (5).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (6).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (7).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (8).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (9).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25llam (10).webp,"Llamada y Respuesta, Sala Anticuario Ruiz Linares, Granada",2025
2025/25par (1).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (2).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (3).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (4).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (5).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (6).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (7).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2025/25par (8).webp,"La casa de los párpados, Casa de las Chirimías, Granada",2025
2024/24all (1).webp,"All Together Now, Sala Capilla, Murcia",2024
2024/24all (2).webp,"All Together Now, Sala Capilla, Murcia",2024
2024/24all (3).webp,"All Together Now, Sala Capilla, Murcia",2024
2024/24all (4).webp,"All Together Now, Sala Capilla, Murcia",2024
2024/24all (5).webp,"All Together Now, Sala Capilla, Murcia",2024
2024/24fosf.webp,"Fosfeno Frustrado, 55 x 70cm. Óleo sobre lienzo",2024
2024/24fosrev.webp,"Fosfeno Revisitado, 14 x 17cm. Óleo papel Sennelier",2024
2024/24ultim (1).webp,"Último Suspiro de la Mulata de Fuego, 170 x 200cm. Óleo sobre lienzo",2024
2024/24ultim (2).webp,"Último Suspiro de la Mulata de Fuego, 170 x 200cm. Óleo sobre lienzo",2024
2024/24ultim (3).webp,"Último Suspiro de la Mulata de Fuego, 170 x 200cm. Óleo sobre lienzo",2024
2024/24vida (1).webp,"Vida Secreta del Libro mudo, 170 x 200cm. Óleo sobre lienzo",2024
2024/24vida (2).webp,"Vida Secreta del Libro mudo, 170 x 200cm. Óleo sobre lienzo",2024
2023/23calypso (1).webp,"Club Calypso, Museo de Nerja",2023
2023/23calypso (2).webp,"Club Calypso, Museo de Nerja",2023
2023/23calypso (3).webp,"Club Calypso, Museo de Nerja",2023
2023/23calypso (4).webp,"Club Calypso, Museo de Nerja",2023
2023/23calypso (5).webp,"Club Calypso, Museo de Nerja",2023
2023/23devil.webp,"Devil Philosophy, 70 x 100cm. Óleo sobre lienzo",2023
2023/23ern.webp,"Ernesto y su guitarra, 100 x 120cm. Óleo sobre lienzo",2023
2022/22bogus.webp,"Bogus Bachata, 61 x 85cm. Óleo sobre lienzo",2022
2022/22chumb (1).webp,"Chumba Cumbia, 200 x 200cm. Óleo sobre lienzo",2022
2022/22chumb (2).webp,"Boceto para Chumba Cumbia. Acrílico sobre papel milimetrado",2022
2022/22chumb (3).webp,"Chumba Cumbia, 200 x 200cm. Óleo sobre lienzo",2022
2022/22chumb (4).webp,"Chumba Cumbia, 200 x 200cm. Óleo sobre lienzo. En proceso",2022
2022/22Ican.webp,"I Can and Shall Obey, 70 x 70cm. Óleo sobre lienzo",2022
2022/22llamada.webp,"Llamada y Respuesta, 100 x 80cm. Óleo sobre lienzo",2022
2022/22resp.webp,"Respuesta, 55 x 45cm. Óleo sobre lienzo",2022
2022/22take.webp,"Take Me to the River, 155 x 195cm. Óleo sobre lienzo",2022
2021/21BabyBach.webp,"Babylon Bachata, 150 x 180cm. Óleo sobre lienzo",2021
2021/21dont1.webp,"Don't Look Down, 95 x 120cm. Óleo sobre lienzo",2021
2021/21dont2 (2).webp,"Don't Look Down, 200 x 200cm. Óleo sobre lienzo. Colección Universidad de Jaén",2021
2021/21dont2.webp,"Don't Look Down, 200 x 200cm. Óleo sobre lienzo. Colección Universidad de Jaén",2021
2021/21raga.webp,"Ragamuffin, 140 x 150cm. Óleo sobre lienzo",2021
2021/21ragaBoc.webp,"Boceto para Ragamuffin. Acrílico sobre papel milimetrado",2021
2021/21unic.webp,"Unicornio Primogénito, 100 x 120cm. Óleo sobre lienzo",2021
2018/18tahi (2).webp,"Our Men in Tahiti, 55 x 70cm. Óleo sobre lienzo",2018
2018/18tahi (3).webp,"Our Men in Tahiti, 81 x 100cm. Óleo sobre lienzo",2018
2018/18tahi (1).webp,"Our Men in Tahiti, acuarela sobre papel",2018
2018/18tahi (4).webp,"Our Men in Tahiti, acuarela sobre papel",2018
2018/18tahi(5).webp,"Our Men in Tahiti, acuarela sobre papel",2018
2018/18tahi(6).webp,"Our Men in Tahiti, cartel de película documental",2018
2017/17tahi.webp,"Our Men in Tahiti, 170 x 200cm. Óleo sobre lienzo",2017
2016/16tahi (1).webp,"Our Men in Tahiti, 50 x 65cm. Óleo sobre lienzo",2016
2016/16tahi (2).webp,"Our Men in Tahiti, 180 x 220cm. Óleo sobre lienzo. Colección Banco de España",2016
2016/16tahi (3).webp,"Our Men in Tahiti, 180 x 220cm. Óleo sobre lienzo. Colección Banco de España",2016
2016/16tahi (4).webp,"Our Men in Tahiti, 180 x 220cm. Óleo sobre lienzo. Colección Banco de España",2016
2016/16tahi (5).webp,"Our Men in Tahiti, 200 x 200cm. Óleo sobre lienzo. Colección Caja Rural",2016
2016/16tahi (6).webp,"Our Men in Tahiti, 60 x 80cm. Óleo sobre lienzo",2016
2016/16tahi (7).webp,"Our Men in Tahiti, 180 x 220cm. Óleo sobre lienzo",2016
2016/16tahi (8).webp,"Our Men in Tahiti, 180 x 220cm. Óleo sobre lienzo",2016
2015/15dib (1).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (5).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (6).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (7).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (8).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (10).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (11).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (12).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (14).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (15).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (16).webp,"Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (4).webp,"Dibujo y traducción, Incluida la pintura El ámbito del pensamiento de Guillermo Pérez Villalta, Museo ABC, Madrid",2015
2015/15dib (9).webp,"Dibujo y traducción, Incluida la pintura El ámbito del pensamiento de Guillermo Pérez Villalta, Museo ABC, Madrid",2015
2015/15dib (2).webp,"El ámbito del pensamiento, instalación con focos LED. Dentro de la exposición Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (3).webp,"El ámbito del pensamiento, instalación con focos LED. Dentro de la exposición Dibujo y traducción, Museo ABC, Madrid",2015
2015/15dib (13).webp,"El ámbito del pensamiento, instalación con focos LED. Dentro de la exposición Dibujo y traducción, Museo ABC, Madrid",2015
2015/15tahi.webp,"Our Men in Tahiti, 140 x 180cm. Óleo sobre lienzo",2015
2014/14ver (1).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (2).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (3).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (4).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (5).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (6).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (7).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (8).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (9).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (10).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2014/14ver (11).webp,"Vermeer's Bookshelf, Casal Solleric, Palma de Mallorca",2014
2013/13cany (2).webp,"Of Canyons and Stars, 46 X 60cm. Acrílico sobre lienzo",2013
2013/13cany (3).webp,"Of Canyons and Stars, 60 X 46cm. Acrílico sobre lienzo",2013
2013/13cany (4).webp,"Of Canyons and Stars, 200 X 200cm. Acrílico sobre lienzo",2013
2013/13cany (5).webp,"Of Canyons and Stars, 200 X 200cm. Acrílico sobre lienzo",2013
2013/13cany (6).webp,"Of Canyons and Stars, 80 X 65cm. Acrílico sobre lienzo",2013
2013/13cany (7).webp,"Of Canyons and Stars, Contrachapado policromado",2013
2013/13cany (8).webp,"Of Canyons and Stars, Contrachapado policromado",2013
2013/13cany (1).webp,"Of Canyons and Stars, Galería Alarcón Criado, Sevilla",2013
2013/13cany (9).webp,"Of Canyons and Stars, Galería Alarcón Criado, Sevilla",2013
2013/13cany (10).webp,"Of Canyons and Stars, Galería Alarcón Criado, Sevilla",2013
2013/13cany (11).webp,"Of Canyons and Stars, Galería Alarcón Criado, Sevilla",2013
2012/12kaai (1).webp,"The Life and Times of Ernest Ka'ai, 180 x 220cm. Acrílico sobre lienzo",2012
2012/12kaai (2).webp,"The Life and Times of Ernest Ka'ai, 140 x 180cm. Acrílico sobre lienzo",2012
2012/12kaai (3).webp,"The Life and Times of Ernest Ka'ai, 180 x 220cm. Acrílico sobre lienzo",2012
2012/12kaai (4).webp,"The Life and Times of Ernest Ka'ai, Galería Álvaro Alcázar, Madrid",2012
